Entry	Entry name	Protein names	InterPro	Gene ontology IDs	Gene ontology (GO)	Gene names	EC number	Pathway	Protein existence	Organism	Organism ID
A4I955	A4I955_LEIIN	Putative phosphoribosylpyrophosphate synthetase (EC 2.7.6.1)	IPR029099; IPR000836; IPR029057; IPR005946; 	GO:0000287; GO:0004749; GO:0009116; GO:0009165	magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]	LINJ_33_2040	2.7.6.1		Inferred from homology	Leishmania infantum	5671
A4HUC9	A4HUC9_LEIIN	Putative nucleolar protein	IPR045056; IPR012974; IPR042239; IPR002687; IPR036070; IPR012976; 	GO:0005730; GO:0030515; GO:0031428; GO:0032040; GO:0042254	box C/D RNP complex [GO:0031428]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; snoRNA binding [GO:0030515]; ribosome biogenesis [GO:0042254]	LINJ_10_0210			Inferred from homology	Leishmania infantum	5671
A4I8D3	A4I8D3_LEIIN	Putative ATP-binding cassette protein subfamily B, member 3	IPR003593; IPR011527; IPR036640; IPR003439; IPR017871; IPR027417; IPR039421; 	GO:0005524; GO:0016021; GO:0140359	integral component of membrane [GO:0016021]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]	LINJ_32_3280			Predicted	Leishmania infantum	5671
A4I0U2	A4I0U2_LEIIN	Putative helicase-like protein	IPR044574; IPR014001; IPR001650; IPR027417; IPR038718; IPR000330; 	GO:0004386; GO:0005524; GO:0005634; GO:0016887; GO:0051213	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dioxygenase activity [GO:0051213]; helicase activity [GO:0004386]	LINJ_24_1070			Inferred from homology	Leishmania infantum	5671
A4I186	A4I186_LEIIN	Guanine nucleotide-binding protein subunit beta-like protein	IPR020472; IPR011047; IPR013934; IPR015943; IPR001680; IPR019775; IPR036322; 	GO:0005730; GO:0005840; GO:0006364; GO:0032040	nucleolus [GO:0005730]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; rRNA processing [GO:0006364]	LINJ_25_0440			Predicted	Leishmania infantum	5671
A4IDV3	A4IDV3_LEIIN	Putative phosphoribosylpyrophosphate synthetase (EC 2.7.6.1)	IPR029099; IPR000836; IPR029057; IPR005946; 	GO:0000287; GO:0004749; GO:0009116; GO:0009165	magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]	LINJ_36_5630	2.7.6.1		Inferred from homology	Leishmania infantum	5671
A4I5E3	A4I5E3_LEIIN	Importin subunit alpha	IPR011989; IPR016024; IPR032413; IPR000225; IPR024931; 	GO:0005737; GO:0006606; GO:0061608	cytoplasm [GO:0005737]; nuclear import signal receptor activity [GO:0061608]; protein import into nucleus [GO:0006606]	LINJ_30_1180			Inferred from homology	Leishmania infantum	5671
Q9Y079	Q9Y079_LEIIN	Putative mitogen-activated protein kinase kinase	IPR011009; IPR000719; IPR017441; IPR008271; 	GO:0004674; GO:0005524	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	mkk			Inferred from homology	Leishmania infantum	5671
A4I5C2	A4I5C2_LEIIN	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	IPR044611; IPR000569; IPR035983; 	GO:0000209; GO:0016874; GO:0061630	ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; protein polyubiquitination [GO:0000209]	LINJ_30_0970	2.3.2.26		Predicted	Leishmania infantum	5671
A4I8P5	A4I8P5_LEIIN	Cleavage stimulation factor 50 kDa subunit (Guanine nucleotide-binding protein subunit beta-like protein)	IPR044633; IPR015943; IPR001680; IPR019775; IPR036322; 	GO:0005840; GO:0005848; GO:0031124	mRNA cleavage stimulating factor complex [GO:0005848]; ribosome [GO:0005840]; mRNA 3'-end processing [GO:0031124]	LINJ_33_0300			Predicted	Leishmania infantum	5671
A4I473	A4I473_LEIIN	Uncharacterized protein	IPR044574; IPR014001; IPR001650; IPR027417; IPR038718; IPR000330; 	GO:0004386; GO:0005524; GO:0005634; GO:0016887; GO:0051213	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dioxygenase activity [GO:0051213]; helicase activity [GO:0004386]	LINJ_29_0210			Inferred from homology	Leishmania infantum	5671
E9AHY8	E9AHY8_LEIIN	Glucose transporter, lmgt3	IPR020846; IPR005828; IPR036259; IPR045262; IPR003663; 	GO:0008643; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; carbohydrate transport [GO:0008643]	LINJ_36_6540			Inferred from homology	Leishmania infantum	5671
A4I2G1	A4I2G1_LEIIN	Putative 60S ribosomal protein L35	IPR001854; IPR036049; IPR045059; 	GO:0000463; GO:0003735; GO:0006412; GO:0022625	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; translation [GO:0006412]	LINJ_26_2350 LINJ_26_2360			Inferred from homology	Leishmania infantum	5671
E9AHH1	E9AHH1_LEIIN	Putative heat-shock protein hsp70	IPR043129; IPR018181; IPR029048; IPR029047; IPR013126; 	GO:0005524; GO:0016887; GO:0043226	organelle [GO:0043226]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	LINJ_28_3060			Inferred from homology	Leishmania infantum	5671
A0A6L0XBY7	A0A6L0XBY7_LEIIN	Guanosine_monophosphate_reductase	IPR013785; IPR000644; IPR005993; IPR005990; IPR015875; IPR001093; 	GO:0003920; GO:0003938; GO:0005737; GO:0006144; GO:0006177; GO:0046872; GO:1902560	cytoplasm [GO:0005737]; GMP reductase complex [GO:1902560]; GMP reductase activity [GO:0003920]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; GMP biosynthetic process [GO:0006177]; purine nucleobase metabolic process [GO:0006144]	LINF_170014800			Inferred from homology	Leishmania infantum	5671
A4HTG0	A4HTG0_LEIIN	Putative dual-specificity protein phosphatase (EC 3.1.3.16) (EC 3.1.3.48)	IPR000340; IPR029021; IPR016130; IPR000387; IPR020422; 	GO:0004725; GO:0008138; GO:0106306; GO:0106307	protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	LINJ_08_0100	3.1.3.16; 3.1.3.48		Predicted	Leishmania infantum	5671
A4I231	A4I231_LEIIN	Putative dynein heavy chain	IPR003593; IPR035699; IPR035706; IPR041658; IPR042219; IPR041589; IPR026980; IPR042222; IPR043157; IPR041466; IPR041228; IPR043160; IPR024743; IPR024317; IPR004273; IPR013602; IPR042228; IPR027417; 	GO:0005524; GO:0005858; GO:0005874; GO:0007018; GO:0008569; GO:0016887; GO:0060285	axonemal dynein complex [GO:0005858]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; minus-end-directed microtubule motor activity [GO:0008569]; cilium-dependent cell motility [GO:0060285]; microtubule-based movement [GO:0007018]	LINJ_26_1000			Predicted	Leishmania infantum	5671
A4I4S5	A4I4S5_LEIIN	Rab GDP dissociation inhibitor	IPR036188; IPR018203; IPR000806; 	GO:0005093; GO:0007264; GO:0015031	Rab GDP-dissociation inhibitor activity [GO:0005093]; protein transport [GO:0015031]; small GTPase mediated signal transduction [GO:0007264]	LINJ_29_2270			Inferred from homology	Leishmania infantum	5671
A4I7P8	A4I7P8_LEIIN	Cyclin	IPR013763; IPR036915; IPR012389; IPR013922; 	GO:0000079; GO:0019901	protein kinase binding [GO:0019901]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	CYC2 LINJ_32_0870			Inferred from homology	Leishmania infantum	5671
A4HWC8	A4HWC8_LEIIN	Putative replication Factor A 28 kDa subunit	IPR012340; IPR004365; IPR040260; IPR014646; IPR014892; IPR036388; 	GO:0003677; GO:0005634; GO:0006260; GO:0006281; GO:0006310	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	LINJ_15_0310			Inferred from homology	Leishmania infantum	5671
E9AGM0	E9AGM0_LEIIN	Uncharacterized protein	IPR011006; IPR018490; IPR000595; IPR011009; IPR000014; IPR035965; IPR013767; IPR000719; IPR017441; IPR014710; IPR008271; IPR001789; 	GO:0000160; GO:0004672; GO:0005524; GO:0005886; GO:0006355; GO:0006811; GO:0030553	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; cGMP binding [GO:0030553]; protein kinase activity [GO:0004672]; ion transport [GO:0006811]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	LINJ_15_1180			Predicted	Leishmania infantum	5671
A4IAG8	A4IAG8_LEIIN	AP-1 complex subunit gamma	IPR017107; IPR011989; IPR016024; IPR002553; IPR008152; IPR013041; 	GO:0006886; GO:0016192; GO:0030121	AP-1 adaptor complex [GO:0030121]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	LINJ_34_3800			Inferred from homology	Leishmania infantum	5671
A4HWJ4	A4HWJ4_LEIIN	Sulfhydryl oxidase (EC 1.8.3.2)	IPR039799; IPR036774; IPR017905; 	GO:0016971	flavin-linked sulfhydryl oxidase activity [GO:0016971]	LINJ_15_1020	1.8.3.2		Predicted	Leishmania infantum	5671
A4ICH2	A4ICH2_LEIIN	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	IPR001078; IPR000089; IPR023213; IPR045257; IPR036625; IPR004167; IPR011053; 	GO:0016746	acyltransferase activity [GO:0016746]	LINJ_36_2790	2.3.1.-		Inferred from homology	Leishmania infantum	5671
A4I0E4	A4I0E4_LEIIN	Cytosolic leucyl aminopeptidase (EC 3.4.11.1)	IPR011356; IPR000819; 	GO:0005737; GO:0030145; GO:0070006	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]	LAP LINJ_23_1120	3.4.11.1		Inferred from homology	Leishmania infantum	5671
A4HZF8	A4HZF8_LEIIN	Putative RNA helicase	IPR011545; IPR014001; IPR001650; IPR027417; IPR014014; 	GO:0003724; GO:0003743; GO:0005524; GO:0016787	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	LINJ_21_1820			Predicted	Leishmania infantum	5671
A4ICG7	A4ICG7_LEIIN	Folylpolyglutamate synthetase (EC 6.3.2.17)	IPR001645; IPR023600; IPR036565; IPR036615; IPR013221; 	GO:0004326; GO:0005524; GO:0046872	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]	FPGS LINJ_36_2740	6.3.2.17		Inferred from homology	Leishmania infantum	5671
A4HTD0	A4HTD0_LEIIN	Putative cation-transporting ATPase (EC 3.6.3.-)	IPR023299; IPR018303; IPR023298; IPR008250; IPR036412; IPR023214; IPR006544; IPR001757; IPR044492; 	GO:0005524; GO:0016021; GO:0016787; GO:0019829	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; hydrolase activity [GO:0016787]	LINJ_07_1210	3.6.3.-		Inferred from homology	Leishmania infantum	5671
A4I412	A4I412_LEIIN	Putative heat-shock protein hsp70	IPR043129; IPR018181; IPR029048; IPR029047; IPR013126; 	GO:0005524; GO:0016887; GO:0043226	organelle [GO:0043226]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	LINJ_28_2960 LINJ_28_3000			Inferred from homology	Leishmania infantum	5671
A4I116	A4I116_LEIIN	40S ribosomal protein S8	IPR042563; IPR001047; IPR022309; IPR018283; 	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	LINJ_24_2160 LINJ_24_2170			Inferred from homology	Leishmania infantum	5671
A4I890	A4I890_LEIIN	60S ribosomal protein L27	IPR005824; IPR041991; IPR038655; IPR001141; IPR008991; 	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	LINJ_32_2830 LINJ_32_2850			Inferred from homology	Leishmania infantum	5671
A4HYB9	A4HYB9_LEIIN	tRNA pseudouridine synthase A-like protein (EC 4.2.1.70)	IPR020103; IPR001406; IPR020097; IPR020095; IPR020094; 	GO:0003723; GO:0004730; GO:0008033; GO:0009982	pseudouridine synthase activity [GO:0009982]; pseudouridylate synthase activity [GO:0004730]; RNA binding [GO:0003723]; tRNA processing [GO:0008033]	LINJ_19_0990	4.2.1.70		Inferred from homology	Leishmania infantum	5671
A4HT43	A4HT43_LEIIN	Protein kinase domain-containing protein	IPR011009; IPR000719; IPR008271; 	GO:0004672; GO:0005524	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	LINJ_07_0410			Predicted	Leishmania infantum	5671
A4HWX6	A4HWX6_LEIIN	Chitinase (EC 3.2.1.14)	IPR011583; IPR001223; IPR001579; IPR017853; 	GO:0004568; GO:0005975; GO:0008061	chitin binding [GO:0008061]; chitinase activity [GO:0004568]; carbohydrate metabolic process [GO:0005975]	CHI-1 LINJ_16_0790	3.2.1.14		Inferred from homology	Leishmania infantum	5671
A4I1K2	A4I1K2_LEIIN	Protein kinase domain-containing protein	IPR011009; IPR000719; IPR008271; 	GO:0004672; GO:0005524	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	LINJ_25_1620			Predicted	Leishmania infantum	5671
A0A6L0XNV0	A0A6L0XNV0_LEIIN	DNA_replication_licensing_factor_MCM7_-_putative	IPR031327; IPR008050; IPR018525; IPR001208; IPR041562; IPR027925; IPR033762; IPR012340; IPR027417; 	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0016887; GO:0042555	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication initiation [GO:0006270]	LINF_320036900			Predicted	Leishmania infantum	5671
A4I4S1	A4I4S1_LEIIN	Uncharacterized protein	IPR040497; IPR029044; IPR009448; IPR040693; IPR040694; IPR040692; 	GO:0003980; GO:0005788; GO:0006486	endoplasmic reticulum lumen [GO:0005788]; UDP-glucose:glycoprotein glucosyltransferase activity [GO:0003980]; protein glycosylation [GO:0006486]	LINJ_29_2230		Protein modification; protein glycosylation. 	Inferred from homology	Leishmania infantum	5671
A4ICT0	A4ICT0_LEIIN	Cell division related protein kinase 2 (EC 2.7.11.1)	IPR011009; IPR000719; IPR017441; IPR008271; 	GO:0004674; GO:0005524; GO:0051301	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; cell division [GO:0051301]	CRK3 LINJ_36_0600	2.7.11.1		Inferred from homology	Leishmania infantum	5671
A4HW49	A4HW49_LEIIN	Protein kinase domain-containing protein	IPR011009; IPR000719; IPR008271; 	GO:0004672; GO:0005524	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	LINJ_14_1140			Predicted	Leishmania infantum	5671
A4HVG0	A4HVG0_LEIIN	FYVE-type domain-containing protein	IPR029058; IPR002921; IPR017455; IPR011011; 	GO:0006629; GO:0046872	metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	LINJ_13_0200			Predicted	Leishmania infantum	5671
A4I4S4	A4I4S4_LEIIN	Protein kinase domain-containing protein	IPR011009; IPR000719; IPR008271; 	GO:0004672; GO:0005524	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	LINJ_29_2260			Predicted	Leishmania infantum	5671
A4I1S0	A4I1S0_LEIIN	COP9 signalosome complex subunit 2	IPR037750; IPR000717; IPR036390; 	GO:0005737; GO:0008180	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]	LINJ_25_2310			Inferred from homology	Leishmania infantum	5671
E9AHI5	E9AHI5_LEIIN	Putative ribosomal protein L1a	IPR025755; IPR002136; IPR013000; IPR023574; IPR045240; 	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	LINJ_29_1180			Inferred from homology	Leishmania infantum	5671
E9AGX6	E9AGX6_LEIIN	Cell division protein kinase 2 (EC 2.7.1.-)	IPR011009; IPR000719; IPR017441; IPR008271; 	GO:0004674; GO:0005524; GO:0051301	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; cell division [GO:0051301]	CRK1 LINJ_21_1320	2.7.1.-		Inferred from homology	Leishmania infantum	5671
A4IA56	A4IA56_LEIIN	Uncharacterized protein	IPR026258; IPR034652; IPR038253; 	GO:0005047; GO:0005786; GO:0006614; GO:0008312; GO:0030942	signal recognition particle, endoplasmic reticulum targeting [GO:0005786]; 7S RNA binding [GO:0008312]; endoplasmic reticulum signal peptide binding [GO:0030942]; signal recognition particle binding [GO:0005047]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	LINJ_34_2630			Inferred from homology	Leishmania infantum	5671
A4IBT3	A4IBT3_LEIIN	Putative PRP8 protein homologue	IPR000555; IPR012591; IPR012592; IPR012984; IPR027652; IPR021983; IPR043173; IPR043172; IPR019581; IPR042516; IPR019580; IPR012337; IPR019582; 	GO:0000398; GO:0005681; GO:0008237; GO:0017070; GO:0030623; GO:0070122	spliceosomal complex [GO:0005681]; isopeptidase activity [GO:0070122]; metallopeptidase activity [GO:0008237]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]; mRNA splicing, via spliceosome [GO:0000398]	LINJ_35_4000			Predicted	Leishmania infantum	5671
A4I3X3	A4I3X3_LEIIN	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	IPR001078; IPR000089; IPR023213; IPR011053; 	GO:0016746	acyltransferase activity [GO:0016746]	LINJ_28_2600	2.3.1.-		Inferred from homology	Leishmania infantum	5671
A4I1Q8	A4I1Q8_LEIIN	Putative RNA triphosphatase (EC 3.6.1.15)	IPR040343; IPR033469; IPR004206; IPR037009; 	GO:0004651; GO:0005634; GO:0006397	nucleus [GO:0005634]; polynucleotide 5'-phosphatase activity [GO:0004651]; mRNA processing [GO:0006397]	LINJ_25_2180	3.6.1.15		Inferred from homology	Leishmania infantum	5671
E9AGF5	E9AGF5_LEIIN	Uncharacterized protein	IPR006606; IPR030804; IPR014003; 	GO:0005737; GO:0005815; GO:0034464; GO:0060170	BBSome [GO:0034464]; ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]	LINJ.12.0630			Inferred from homology	Leishmania infantum	5671
A4IB88	A4IB88_LEIIN	Putative 60S ribosomal protein L5	IPR005485; IPR025607; 	GO:0003735; GO:0005840; GO:0006412; GO:0008097	ribosome [GO:0005840]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	LINJ_35_1870 LINJ_35_1880			Inferred from homology	Leishmania infantum	5671
A4I4G7	A4I4G7_LEIIN	Putative ribosomal protein L1a	IPR025755; IPR002136; IPR013000; IPR023574; IPR045240; 	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	LINJ_29_1160 LINJ_29_1170			Inferred from homology	Leishmania infantum	5671
A0A6L0WIZ6	A0A6L0WIZ6_LEIIN	DNA_replication_licensing_factor_MCM4_-__putative	IPR003593; IPR031327; IPR008047; IPR001208; IPR041562; IPR027925; IPR033762; IPR012340; IPR027417; 	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0016887; GO:0042555	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication initiation [GO:0006270]	LINF_090008100			Predicted	Leishmania infantum	5671
E9AHE5	E9AHE5_LEIIN	NADH-ubiquinone oxidoreductase 20 kDa subunit,mitochondrial (EC 1.6.5.3)	IPR006137; IPR006138; 	GO:0008137; GO:0046872; GO:0048038; GO:0051539	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]	LINJ_27_0590	1.6.5.3		Inferred from homology	Leishmania infantum	5671
A4HUE7	A4HUE7_LEIIN	Putative folate/biopterin transporter	IPR039309; IPR004324; IPR036259; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_10_0390			Inferred from homology	Leishmania infantum	5671
A0A6L0XF07	A0A6L0XF07_LEIIN	Proteasome_regulatory_ATPase_subunit_5_-_putative	IPR005937; IPR003593; IPR041569; IPR003959; IPR003960; IPR027417; IPR032501; IPR035254; 	GO:0000502; GO:0005524; GO:0005634; GO:0005737; GO:0016887; GO:0030163; GO:0036402	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]; protein catabolic process [GO:0030163]	LINF_220011600			Predicted	Leishmania infantum	5671
A4I9R9	A4I9R9_LEIIN	Dihydroxyacetonephosphate acyltransferase (EC 2.3.1.42)	IPR022284; IPR041728; IPR045520; IPR002123; 	GO:0016287; GO:0044255; GO:0110165	cellular anatomical entity [GO:0110165]; glycerone-phosphate O-acyltransferase activity [GO:0016287]; cellular lipid metabolic process [GO:0044255]	DAT LINJ_34_1170	2.3.1.42		Inferred from homology	Leishmania infantum	5671
A4HX61	A4HX61_LEIIN	Nop domain-containing protein	IPR042239; IPR002687; IPR036070; IPR027105; 	GO:0000244; GO:0046540	U4/U6 x U5 tri-snRNP complex [GO:0046540]; spliceosomal tri-snRNP complex assembly [GO:0000244]	LINJ_16_1730			Predicted	Leishmania infantum	5671
A4HTI2	A4HTI2_LEIIN	Isochorismatase domain-containing protein	IPR000868; IPR036380; 			LINJ_08_0320			Inferred from homology	Leishmania infantum	5671
A4I7U2	A4I7U2_LEIIN	Putative ubiquitin hydrolase (EC 3.1.2.15)	IPR038765; IPR001394; IPR018200; IPR028889; 	GO:0004843; GO:0006511; GO:0016579	thiol-dependent deubiquitinase [GO:0004843]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	LINJ_32_1310	3.1.2.15		Predicted	Leishmania infantum	5671
A0A6L0WWV5	A0A6L0WWV5_LEIIN	Proteasome_regulatory_ATPase_subunit_2_-_putative	IPR005937; IPR035244; IPR003593; IPR041569; IPR003959; IPR003960; IPR027417; IPR032501; 	GO:0000502; GO:0005524; GO:0005634; GO:0005737; GO:0016887; GO:0030163; GO:0036402	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]; protein catabolic process [GO:0030163]	LINF_130015900			Predicted	Leishmania infantum	5671
A4HY53	A4HY53_LEIIN	GDT1 family protein	IPR001727; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_19_0310			Inferred from homology	Leishmania infantum	5671
A4HYA4	A4HYA4_LEIIN	Autophagy-related protein	IPR004241; IPR029071; 	GO:0006914; GO:0016020	membrane [GO:0016020]; autophagy [GO:0006914]	ATG8B.2 LINJ_19_0850			Inferred from homology	Leishmania infantum	5671
A0A6L0XHQ2	A0A6L0XHQ2_LEIIN	Molybdopterin_synthase_sulphurylase-like_protein_-_putative	IPR028885; IPR001763; IPR036873; IPR045886; IPR000594; IPR035985; 	GO:0002143; GO:0004792; GO:0005524; GO:0005829; GO:0008641; GO:0016779; GO:0046872	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; thiosulfate sulfurtransferase activity [GO:0004792]; ubiquitin-like modifier activating enzyme activity [GO:0008641]; tRNA wobble position uridine thiolation [GO:0002143]	LINF_270023600			Inferred from homology	Leishmania infantum	5671
A4ICV3	A4ICV3_LEIIN	Nucleolar protein 10	IPR007264; IPR036756; 	GO:0001522; GO:0006364; GO:0030515	snoRNA binding [GO:0030515]; pseudouridine synthesis [GO:0001522]; rRNA processing [GO:0006364]	LINJ_36_0370			Inferred from homology	Leishmania infantum	5671
A0A6L0XFK8	A0A6L0XFK8_LEIIN	Frataxin-like_protein	IPR017789; IPR002908; IPR036524; IPR020895; 	GO:0004322; GO:0005739; GO:0006783; GO:0006811; GO:0006879; GO:0008199; GO:0016226	mitochondrion [GO:0005739]; ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; cellular iron ion homeostasis [GO:0006879]; heme biosynthetic process [GO:0006783]; ion transport [GO:0006811]; iron-sulfur cluster assembly [GO:0016226]	LINF_250016600			Predicted	Leishmania infantum	5671
A4HXR2	A4HXR2_LEIIN	Tubulin--tyrosine ligase-like protein 9	IPR013815; IPR004344; IPR027751; 	GO:0005524; GO:0006464; GO:0016874	ATP binding [GO:0005524]; ligase activity [GO:0016874]; cellular protein modification process [GO:0006464]	LINJ_18_0370			Inferred from homology	Leishmania infantum	5671
A0A6L0Y1T6	A0A6L0Y1T6_LEIIN	Eukaryotic_translation_initiation_factor_6_(eIF-6 )_-_putative	IPR002769; 	GO:0003743; GO:0005730; GO:0005737; GO:0042256; GO:0042273; GO:0043022; GO:0043023	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]; mature ribosome assembly [GO:0042256]; ribosomal large subunit biogenesis [GO:0042273]	LINF_360014600			Inferred from homology	Leishmania infantum	5671
A0A6L0XN46	A0A6L0XN46_LEIIN	DNA_replication_licensing_factor_MCM3_-_putative	IPR003593; IPR031327; IPR008046; IPR018525; IPR001208; IPR041562; IPR033762; IPR012340; IPR027417; 	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0016887; GO:0042555	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication initiation [GO:0006270]	LINF_330036300			Predicted	Leishmania infantum	5671
A0A6L0XKE7	A0A6L0XKE7_LEIIN	O-sialoglycoprotein_endopeptidase_-_putative	IPR043129; IPR000905; IPR017861; IPR034680; IPR017860; 	GO:0000408; GO:0002949; GO:0005634; GO:0005737; GO:0016787; GO:0046872; GO:0061711	cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]; nucleus [GO:0005634]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; tRNA threonylcarbamoyladenosine modification [GO:0002949]	LINF_310005900			Inferred from homology	Leishmania infantum	5671
A4HYJ2	A4HYJ2_LEIIN	Autophagy-related protein	IPR004241; IPR029071; 	GO:0006914; GO:0016020	membrane [GO:0016020]; autophagy [GO:0006914]	ATG8 LINJ_19_1660			Inferred from homology	Leishmania infantum	5671
A4ICJ6	A4ICJ6_LEIIN	Cilia- and flagella-associated protein 36 (Coiled-coil domain-containing protein 104)	IPR023379; IPR042541; IPR038888; 	GO:0005737; GO:0005929	cilium [GO:0005929]; cytoplasm [GO:0005737]	LINJ_36_1460			Inferred from homology	Leishmania infantum	5671
